uuid,gender,age,group,image1,image2,rating
5c77655d-0531-47fd-84b9-f00488e343f1,Male,21,bonafide S1 vs S2,images/S1_BF/1_s1_bf.png,images/S2_BF/1_s2_bf.png,3
5c77655d-0531-47fd-84b9-f00488e343f1,Male,21,bonafide S1 vs S2,images/S1_BF/2_s1_bf.png,images/S2_BF/2_s2_bf.png,3
